Station,Latitude_in_deg_final,Longitude_in_deg_final,UTM_easting_in_meters_final,UTM_northing_in_meters_final,Height_above_WGS84_ellipsoid_in_meters_final,Height_above_unkown_geoid_in_meters_final,Start_Date,Start_Time,Stop_Date,Stop_Time,Orientation_from_true_North,Notes
N128,39.81024296,-118.99946910,328848.090,4408608.816,1252.420,1276.827,2016-03-10,01:38:45.270,2016-03-26,24:00:16.280,358,
N129,39.81090208,-118.99898180,328891.440,4408681.045,1253.917,1278.323,2016-03-10,01:47:42.208,2016-03-26,24:00:13.218,353,
N130,39.81125668,-118.99856810,328927.734,4408719.614,1254.382,1278.786,2016-03-10,01:55:27.258,2016-03-26,24:00:28.268,001,
N131,39.80019058,-119.00936610,327975.795,4407511.997,1227.949,1252.383,2016-03-08,18:20:11.976,2016-03-26,24:00:12.986,350,
N132,39.80073859,-119.00885980,328020.509,4407571.852,1229.449,1253.882,2016-03-07,22:16:07.880,2016-03-26,22:29:38.880,356,
N133,39.80122787,-119.00844960,328056.848,4407625.373,1230.854,1255.286,2016-03-07,22:05:13.968,2016-03-26,22:30:14.968,354,
N134,39.80172093,-119.00800130,328096.458,4407679.241,1232.003,1256.433,2016-03-07,21:41:03.930,2016-03-26,22:50:04.930,355,
N135,39.80401916,-119.00571800,328297.663,4407929.957,1239.051,1263.475,2016-03-08,20:51:43.492,2016-03-26,22:37:44.492,340,
N136,39.80486889,-119.00509620,328353.011,4408023.082,1239.681,1264.103,2016-03-10,01:16:29.846,2016-03-26,22:36:30.846,002,
N137,39.80508377,-119.00486690,328373.177,4408046.494,1240.018,1264.439,2016-03-10,01:09:01.182,2016-03-26,22:36:32.182,359,
N138,39.80540054,-119.00443460,328410.974,4408080.826,1241.109,1265.529,2016-03-10,01:00:05.276,2016-03-26,24:00:06.286,000,
N139,39.80658477,-119.00349970,328493.956,4408210.481,1245.531,1269.948,2016-03-10,00:36:17.810,2016-03-26,22:48:48.810,356,
N140,39.80705213,-119.00318000,328522.487,4408261.745,1246.932,1271.348,2016-03-10,00:26:54.162,2016-03-26,22:29:25.162,354,
N141,39.80765747,-119.00257620,328575.682,4408327.779,1247.929,1272.344,2016-03-09,23:18:22.522,2016-03-26,24:00:23.532,000,
N142,39.80813192,-119.00218450,328610.393,4408379.692,1247.537,1271.950,2016-03-09,23:09:19.650,2016-03-26,24:00:20.660,352,
N143,39.80836418,-119.00186150,328638.621,4408404.854,1248.154,1272.567,2016-03-09,23:31:51.716,2016-03-26,24:00:22.726,000,
N144,39.80913032,-119.00133290,328685.776,4408488.882,1248.932,1273.342,2016-03-09,19:56:13.744,2016-03-26,22:29:44.744,352,
N145,39.80948190,-119.00080190,328732.106,4408526.890,1249.994,1274.404,2016-03-09,19:45:29.904,2016-03-26,22:49:30.904,358,
N146,39.81001052,-119.00042790,328765.435,4408584.851,1250.269,1274.677,2016-03-09,19:38:44.090,2016-03-26,22:48:15.090,007,
N147,39.81055695,-119.00012920,328792.361,4408644.932,1250.968,1275.374,2016-03-09,21:09:20.210,2016-03-26,24:00:21.220,358,
N148,39.81097511,-118.99947320,328849.555,4408690.092,1252.705,1277.110,2016-03-10,01:35:51.452,2016-03-26,24:00:22.462,350,
N149,39.81148889,-118.99903350,328888.470,4408746.280,1253.508,1277.911,2016-03-10,01:40:34.400,2016-03-26,24:00:05.410,355,
