Channel,X,Y,Z
number,UTM [m],UTM [m],UTM [m]
597,327943.39,4407645.2,1228.442
598,327944.03,4407646.05,1228.452
599,327944.66,4407646.9,1228.462
600,327945.3,4407647.75,1228.472
601,327945.93,4407648.61,1228.482
602,327946.57,4407649.46,1228.493
603,327947.2,4407650.31,1228.503
604,327947.84,4407651.16,1228.513
605,327948.47,4407652.01,1228.537
606,327949.11,4407652.86,1228.582
607,327949.74,4407653.71,1228.638
608,327950.38,4407654.56,1228.696
609,327951.01,4407655.42,1228.753
610,327951.64,4407656.27,1228.811
611,327952.28,4407657.12,1228.868
612,327952.91,4407657.97,1228.925
613,327953.55,4407658.82,1228.982
614,327954.18,4407659.67,1229.038
615,327954.82,4407660.52,1229.093
616,327955.45,4407661.38,1229.148
617,327956.09,4407662.23,1229.202
618,327956.72,4407663.08,1229.255
619,327957.36,4407663.93,1229.305
620,327957.99,4407664.78,1229.325
621,327958.63,4407665.63,1229.303
622,327959.26,4407666.48,1229.242
623,327959.9,4407667.34,1229.143
624,327960.53,4407668.19,1229.028
625,327961.17,4407669.04,1228.908
626,327961.8,4407669.89,1228.785
627,327962.44,4407670.74,1228.661
628,327963.07,4407671.59,1228.536
629,327963.71,4407672.44,1228.411
630,327964.34,4407673.29,1228.289
631,327964.98,4407674.15,1228.168
632,327965.61,4407675,1228.051
633,327966.25,4407675.85,1227.937
634,327966.88,4407676.7,1227.831
635,327967.52,4407677.55,1227.74
636,327968.15,4407678.4,1227.722
637,327968.79,4407679.25,1227.957
638,327969.42,4407680.11,1228.365
639,327970.06,4407680.96,1228.772
640,327970.69,4407681.81,1229.18
641,327971.33,4407682.66,1229.588
642,327971.96,4407683.51,1229.813
643,327972.94,4407683.3,1229.558
644,327973.92,4407683.08,1229.454
645,327974.9,4407682.87,1229.599
646,327975.88,4407682.65,1229.871
647,327976.86,4407682.43,1229.667
648,327977.84,4407682.22,1229.551
649,327978.81,4407682.01,1229.543
650,327979.79,4407681.79,1229.592
651,327980.77,4407681.58,1229.669
652,327981.75,4407681.36,1229.76
653,327982.73,4407681.14,1229.857
654,327983.71,4407680.93,1229.955
655,327984.69,4407680.71,1230.049
656,327985.67,4407680.5,1230.124
657,327986.65,4407680.28,1230.173
658,327987.62,4407680.07,1230.204
659,327988.6,4407679.85,1230.232
660,327989.58,4407679.64,1230.256
661,327990.56,4407679.42,1230.273
662,327991.54,4407679.21,1230.285
663,327992.52,4407678.99,1230.298
664,327993.5,4407678.78,1230.311
665,327994.48,4407678.56,1230.324
666,327995.45,4407678.35,1230.337
667,327996.43,4407678.13,1230.35
668,327997.41,4407677.92,1230.364
669,327998.39,4407677.7,1230.377
670,327999.37,4407677.49,1230.392
671,328000.35,4407677.27,1230.41
672,328001.33,4407677.06,1230.432
673,328002.31,4407676.84,1230.459
674,328003.28,4407676.63,1230.489
675,328004.26,4407676.41,1230.519
676,328005.24,4407676.2,1230.55
677,328006.22,4407675.98,1230.581
678,328007.2,4407675.77,1230.612
679,328008.18,4407675.55,1230.642
680,328009.16,4407675.34,1230.673
681,328010.14,4407675.12,1230.704
682,328011.12,4407674.91,1230.735
683,328012.09,4407674.69,1230.766
684,328013.07,4407674.48,1230.797
685,328014.05,4407674.26,1230.828
686,328015.03,4407674.05,1230.858
687,328016.01,4407673.83,1230.886
688,328016.99,4407673.62,1230.911
689,328017.97,4407673.4,1230.937
690,328018.95,4407673.18,1230.963
691,328019.92,4407672.97,1230.989
692,328020.9,4407672.76,1231.014
693,328021.88,4407672.54,1231.04
694,328022.86,4407672.33,1231.066
695,328023.84,4407672.11,1231.092
696,328024.82,4407671.89,1231.118
697,328025.8,4407671.68,1231.144
698,328026.78,4407671.46,1231.17
699,328027.75,4407671.25,1231.196
700,328028.73,4407671.03,1231.221
701,328029.71,4407670.82,1231.247
702,328030.69,4407670.6,1231.272
703,328031.67,4407670.39,1231.293
704,328032.65,4407670.17,1231.31
705,328033.63,4407669.96,1231.326
706,328034.61,4407669.74,1231.342
707,328035.59,4407669.53,1231.359
708,328036.56,4407669.31,1231.375
709,328037.54,4407669.1,1231.391
710,328038.52,4407668.88,1231.407
711,328039.5,4407668.67,1231.423
712,328040.48,4407668.45,1231.439
713,328041.46,4407668.24,1231.455
714,328042.44,4407668.02,1231.471
715,328043.42,4407667.81,1231.487
716,328044.39,4407667.59,1231.502
717,328045.37,4407667.38,1231.497
718,328046.35,4407667.16,1231.477
719,328047.33,4407666.95,1231.455
720,328048.31,4407666.73,1231.434
721,328049.29,4407666.52,1231.413
722,328050.27,4407666.3,1231.392
723,328051.25,4407666.09,1231.37
724,328052.22,4407665.87,1231.349
725,328053.2,4407665.66,1231.328
726,328054.18,4407665.44,1231.307
727,328055.16,4407665.23,1231.286
728,328056.14,4407665.01,1231.265
729,328057.12,4407664.8,1231.244
730,328058.1,4407664.58,1231.222
731,328059.08,4407664.37,1231.2
732,328060.06,4407664.15,1231.178
733,328061.03,4407663.94,1231.156
734,328062.01,4407663.72,1231.135
735,328062.99,4407663.51,1231.133
736,328063.97,4407663.29,1231.266
737,328064.95,4407663.08,1231.421
738,328065.93,4407662.86,1231.575
739,328066.91,4407662.64,1231.73
740,328067.89,4407662.43,1231.884
741,328068.86,4407662.22,1232.038
742,328069.84,4407662,1232.191
743,328070.82,4407661.78,1232.344
744,328071.8,4407661.57,1232.497
745,328072.78,4407661.35,1232.632
746,328073.76,4407661.14,1232.686
747,328074.74,4407660.92,1232.718
748,328075.72,4407660.71,1232.75
749,328076.7,4407660.49,1232.782
750,328077.67,4407660.28,1232.814
751,328078.65,4407660.06,1232.846
752,328079.63,4407659.85,1232.878
753,328080.61,4407659.63,1232.911
754,328081.59,4407659.42,1232.943
755,328082.57,4407659.2,1232.975
756,328083.55,4407658.99,1233.007
757,328084.53,4407658.77,1233.039
758,328085.5,4407658.56,1233.074
759,328086.48,4407658.34,1233.117
760,328087.46,4407658.13,1233.16
761,328088.44,4407657.91,1233.203
762,328089.42,4407657.7,1233.246
763,328090.4,4407657.48,1233.289
764,328091.38,4407657.27,1233.331
765,328092.36,4407657.05,1233.374
766,328093.33,4407656.84,1233.417
767,328094.31,4407656.62,1233.46
768,328095.29,4407656.41,1233.503
769,328096.27,4407656.19,1233.546
770,328097.25,4407655.98,1233.589
771,328098.23,4407655.76,1233.631
772,328099.21,4407655.55,1233.674
773,328100.19,4407655.33,1233.717
